iter	RMSE
0	0.3976724146
1	0.3963870516
2	0.3952249191
3	0.3940420675
4	0.3927673344
5	0.3915575352
6	0.390296532
7	0.3891730331
8	0.3880191594
9	0.386896471
10	0.3857717071
11	0.384540916
12	0.3833745273
13	0.3821205106
14	0.3809122295
15	0.3798084048
16	0.3786033375
17	0.3774562163
18	0.3762869964
19	0.3750640331
20	0.3739285798
21	0.3727886852
22	0.3716036031
23	0.3705916759
24	0.3694679474
25	0.3683178768
26	0.3672142693
27	0.3661061991
28	0.3650064379
29	0.3638484225
30	0.3627847473
31	0.3616095378
32	0.3604449268
33	0.3594101885
34	0.3583615358
35	0.3573362362
36	0.3562565457
37	0.3551746335
38	0.354237507
39	0.353260625
40	0.3522514475
41	0.3511543866
42	0.3501835827
43	0.3492115494
44	0.3482364209
45	0.3472485638
46	0.3462384923
47	0.3452216559
48	0.3441324274
49	0.3431271443
50	0.3421440401
51	0.3411839236
52	0.3402257857
53	0.3392456803
54	0.3382487915
55	0.3372563309
56	0.336278997
57	0.3354250776
58	0.334370033
59	0.3334175524
60	0.3324347689
61	0.3315076284
62	0.3305377219
63	0.3295639612
64	0.328612011
65	0.3276876213
66	0.3268130061
67	0.3258705177
68	0.3249317582
69	0.324035722
70	0.3231978922
71	0.3222761462
72	0.3213672829
73	0.3204753991
74	0.3196093522
75	0.3187269327
76	0.317840982
77	0.3169575906
78	0.3160860478
79	0.3152382412
80	0.3143706683
81	0.3134611253
82	0.3126267797
83	0.3117641321
84	0.3109004618
85	0.3100174689
86	0.3091912173
87	0.3084408289
88	0.3075955849
89	0.3068234709
90	0.3060092002
91	0.3052410876
92	0.3044278587
93	0.3036294927
94	0.3028272684
95	0.3020220596
96	0.3012042595
97	0.3004497565
98	0.2996781313
99	0.2988691501
100	0.2981039138
101	0.2972398777
102	0.2964629995
103	0.2956129027
104	0.2948899174
105	0.2941092612
106	0.2932933189
107	0.29255772
108	0.2917563546
109	0.2910696544
110	0.2903233674
111	0.2895527585
112	0.2887220031
113	0.287920144
114	0.2871313758
115	0.2864026831
116	0.285643878
117	0.2849463584
118	0.2842482764
119	0.2834925842
120	0.282720982
121	0.2820243158
122	0.2812806118
123	0.2806690494
124	0.2799821022
125	0.2793242382
126	0.2786126964
127	0.2779223803
128	0.277190033
129	0.2765022955
130	0.275779655
131	0.2750685363
132	0.2744738993
133	0.2738131551
134	0.2731486933
135	0.272470468
136	0.2718030812
137	0.2712496263
138	0.2705512979
139	0.269858616
140	0.269220969
141	0.2685948175
142	0.2679083469
143	0.267247177
144	0.2666318512
145	0.2659877161
146	0.2653834634
147	0.2647215455
148	0.264103353
149	0.2634501202
150	0.2627975094
151	0.2621235274
152	0.2615137385
153	0.2608847432
154	0.2602726025
155	0.2596875802
156	0.2590791692
