iter	Passed	Remaining
0	0	5617
1	1	5316
2	2	4930
3	3	4791
4	3	4676
5	4	4622
6	5	4661
7	6	4621
8	6	4572
9	7	4568
10	8	4641
11	9	4662
12	11	5130
13	12	5433
14	13	5553
15	15	5623
16	18	6335
17	18	6292
18	20	6298
19	21	6297
20	22	6475
21	23	6443
22	24	6391
23	25	6371
24	26	6304
25	27	6269
26	28	6230
27	28	6179
28	29	6152
29	30	6140
30	31	6123
31	32	6116
32	33	6123
33	34	6121
34	38	6548
35	40	6658
36	41	6612
37	41	6581
38	42	6544
39	43	6540
40	44	6522
41	45	6492
42	47	6521
43	48	6508
44	49	6505
45	50	6490
46	51	6475
47	52	6454
48	52	6421
49	53	6408
50	54	6392
51	55	6379
52	56	6355
53	57	6332
54	58	6318
55	59	6339
56	60	6317
57	61	6297
58	62	6288
59	63	6279
60	64	6263
61	65	6249
62	66	6237
63	67	6218
64	67	6204
65	69	6262
66	70	6245
67	71	6223
68	72	6221
69	73	6213
70	74	6231
71	76	6284
72	77	6263
73	78	6274
74	79	6263
75	80	6249
76	81	6248
77	82	6238
78	83	6225
79	84	6219
80	84	6194
81	85	6191
82	86	6186
83	87	6186
84	88	6171
85	89	6164
86	90	6159
87	91	6144
88	92	6127
89	93	6117
90	94	6106
91	95	6105
92	95	6096
93	97	6097
94	98	6111
95	99	6121
96	100	6108
97	101	6097
98	102	6096
99	103	6088
100	104	6093
101	105	6100
102	106	6094
103	107	6084
104	108	6085
105	109	6078
106	110	6070
107	111	6065
108	112	6100
109	114	6121
110	115	6147
111	116	6141
112	117	6141
113	118	6128
114	119	6122
115	120	6109
116	121	6101
117	122	6090
118	129	6382
119	130	6377
120	131	6377
121	132	6377
122	134	6403
123	134	6397
124	136	6435
125	140	6569
126	141	6557
127	143	6562
128	143	6553
129	145	6552
130	145	6537
131	146	6525
132	147	6512
133	148	6503
134	149	6493
135	150	6484
136	151	6475
137	155	6587
138	155	6576
139	156	6566
140	157	6561
141	158	6555
142	159	6550
143	160	6543
144	162	6545
145	163	6561
146	164	6552
147	166	6563
148	167	6558
149	167	6542
150	168	6529
151	169	6520
152	170	6507
153	171	6498
154	172	6513
155	174	6519
156	174	6512
157	175	6499
158	176	6487
159	177	6484
160	178	6475
161	179	6465
162	180	6460
163	181	6450
164	182	6444
165	183	6434
166	183	6426
167	185	6423
168	185	6412
169	186	6403
170	187	6394
171	188	6387
172	189	6388
173	190	6387
174	191	6384
175	192	6380
176	193	6374
177	195	6386
178	196	6379
179	197	6374
180	198	6366
181	199	6363
182	200	6358
183	200	6351
184	201	6347
185	203	6345
186	203	6334
187	205	6348
188	206	6346
189	207	6338
190	208	6329
191	209	6324
192	210	6323
193	212	6371
194	213	6361
195	214	6356
196	215	6350
197	216	6343
198	217	6342
199	218	6335
200	219	6329
201	220	6329
202	221	6323
203	222	6319
204	223	6311
205	224	6302
206	225	6297
207	226	6293
208	226	6285
209	227	6277
210	228	6268
211	232	6339
212	233	6335
213	234	6330
214	235	6327
215	236	6326
216	237	6327
217	238	6324
218	239	6316
219	240	6309
220	241	6307
221	241	6297
222	242	6292
223	243	6290
224	244	6286
225	245	6280
226	246	6276
227	247	6270
228	248	6262
229	249	6255
230	250	6248
231	251	6248
232	252	6247
233	253	6237
234	254	6231
235	254	6225
236	256	6240
237	258	6247
238	259	6243
239	259	6238
240	260	6231
241	261	6226
242	262	6221
243	263	6214
244	264	6211
245	265	6206
246	266	6205
247	267	6205
248	268	6203
249	269	6200
250	270	6196
251	271	6198
252	273	6212
253	275	6222
254	276	6230
255	277	6225
256	278	6219
257	279	6212
258	280	6208
259	281	6221
260	282	6219
261	283	6213
262	284	6207
263	285	6201
264	286	6199
265	287	6192
266	289	6223
267	291	6231
268	292	6226
269	293	6228
270	294	6231
271	295	6229
272	296	6223
273	298	6234
274	299	6231
275	300	6223
276	301	6220
277	301	6215
278	303	6216
279	304	6215
280	305	6210
281	306	6206
282	307	6214
283	309	6226
284	310	6235
285	312	6244
286	313	6239
287	314	6239
288	315	6234
289	316	6235
290	317	6231
291	318	6228
292	319	6224
293	320	6229
294	322	6239
295	323	6234
296	324	6232
297	325	6227
298	326	6224
299	327	6220
300	328	6215
301	329	6213
302	330	6210
303	331	6209
304	332	6205
305	333	6199
306	334	6193
307	335	6192
308	336	6189
309	336	6185
310	337	6182
311	338	6177
312	339	6172
313	340	6166
314	341	6162
315	342	6157
316	343	6153
317	344	6149
318	345	6154
319	346	6148
320	347	6154
321	349	6155
322	349	6150
323	350	6146
324	351	6141
325	352	6138
326	353	6132
327	354	6129
328	355	6125
329	356	6122
330	357	6117
331	358	6113
332	358	6106
333	359	6103
334	360	6100
335	361	6097
336	362	6093
337	363	6088
338	364	6085
339	365	6079
340	366	6076
341	367	6075
342	368	6072
343	369	6067
344	369	6063
345	370	6060
346	371	6056
347	373	6063
348	374	6063
349	375	6058
350	376	6053
351	376	6047
352	377	6046
353	378	6043
354	379	6039
355	380	6035
356	381	6033
357	382	6031
358	383	6027
359	384	6028
360	386	6030
361	387	6037
362	389	6041
363	389	6038
364	390	6035
365	391	6031
366	392	6026
367	393	6022
368	394	6020
369	395	6017
370	396	6014
371	397	6020
372	398	6017
373	399	6014
374	400	6008
375	402	6016
376	403	6012
377	404	6009
378	404	6005
379	406	6011
380	407	6008
381	408	6005
382	409	6010
383	411	6020
384	412	6018
385	413	6017
386	415	6021
387	416	6018
388	417	6016
389	418	6013
390	419	6015
391	420	6013
392	421	6008
393	422	6005
394	428	6080
395	429	6077
396	430	6072
397	431	6067
398	431	6061
399	432	6054
400	433	6047
401	433	6041
402	434	6035
403	435	6031
404	436	6029
405	437	6027
406	438	6024
407	439	6022
408	440	6020
409	441	6016
410	442	6013
411	442	6007
412	446	6037
413	447	6033
414	448	6030
415	448	6026
416	449	6024
417	451	6024
418	452	6030
419	453	6025
420	454	6025
421	455	6022
422	456	6020
423	457	6016
424	458	6014
425	459	6010
426	460	6009
427	461	6006
428	462	6004
429	463	6000
430	464	6003
431	466	6009
432	467	6013
433	468	6009
434	469	6007
435	470	6003
436	471	5999
437	472	5995
438	472	5991
439	473	5986
440	475	5992
441	476	5991
442	477	5992
443	478	5990
444	479	5987
445	480	5983
446	481	5982
447	482	5978
448	483	5977
449	484	5976
450	485	5972
451	486	5969
452	487	5966
453	488	5964
454	489	5968
455	491	5972
456	492	5970
457	493	5967
458	494	5963
459	494	5959
460	495	5956
461	496	5952
462	497	5948
463	498	5945
464	500	5951
465	500	5947
466	501	5945
467	502	5942
468	503	5940
469	505	5950
470	506	5945
471	507	5942
472	508	5939
473	509	5935
474	510	5934
475	511	5931
476	511	5927
477	512	5923
478	513	5919
479	514	5916
480	515	5915
481	517	5919
482	518	5925
483	519	5921
484	520	5918
485	521	5914
486	522	5909
487	522	5907
488	524	5907
489	525	5905
490	526	5904
491	527	5902
492	528	5906
493	529	5904
494	530	5902
495	531	5899
496	532	5896
497	533	5892
498	534	5889
499	535	5887
500	536	5886
501	537	5881
502	537	5878
503	538	5875
504	539	5871
505	540	5869
506	541	5865
507	542	5864
508	543	5862
509	544	5859
510	545	5856
511	546	5853
512	546	5849
513	547	5847
514	548	5845
515	549	5842
516	550	5840
517	551	5836
518	552	5833
519	553	5832
520	554	5831
521	555	5827
522	556	5824
523	556	5820
524	557	5818
525	558	5814
526	559	5814
527	561	5814
528	561	5812
529	563	5811
530	563	5807
531	564	5805
532	565	5802
533	566	5800
534	568	5803
535	569	5801
536	570	5798
537	570	5796
538	571	5792
539	572	5789
540	573	5791
541	574	5787
542	575	5785
543	576	5783
544	577	5782
545	578	5779
546	585	5833
547	585	5829
548	586	5827
549	597	5924
550	598	5922
551	599	5919
552	600	5916
553	601	5913
554	603	5917
555	604	5915
556	605	5913
557	611	5959
558	612	5957
559	612	5953
560	613	5951
561	614	5947
562	615	5944
563	617	5950
564	618	5945
565	622	5979
566	624	5981
567	625	5979
568	626	5983
569	627	5979
570	628	5975
571	629	5973
572	630	5971
573	631	5970
574	632	5967
575	633	5969
576	635	5969
577	636	5970
578	637	5967
579	638	5966
580	639	5964
581	640	5962
582	641	5960
583	642	5957
584	643	5953
585	644	5950
586	644	5947
587	646	5948
588	647	5950
589	648	5947
590	649	5944
591	650	5941
592	651	5938
593	652	5936
594	653	5936
595	654	5933
596	655	5931
597	656	5929
598	657	5928
599	658	5925
600	659	5923
601	660	5926
602	661	5924
603	662	5921
604	663	5918
605	664	5915
606	665	5911
607	666	5909
608	667	5906
609	668	5903
610	669	5901
611	669	5898
612	671	5899
613	672	5901
614	673	5899
615	674	5897
616	675	5894
617	676	5890
618	677	5887
619	678	5884
620	679	5883
621	680	5882
622	681	5878
623	681	5875
624	682	5872
625	683	5869
626	684	5867
627	685	5863
628	686	5863
629	687	5860
630	688	5861
631	689	5858
632	690	5855
633	691	5852
634	692	5849
635	693	5846
636	694	5849
637	695	5846
638	696	5844
639	699	5861
640	700	5859
641	701	5856
642	702	5853
643	703	5850
644	704	5848
645	705	5845
646	706	5849
647	707	5846
648	708	5843
649	709	5840
650	710	5838
651	711	5836
652	712	5832
653	713	5828
654	713	5824
655	714	5823
656	715	5821
657	716	5817
658	717	5815
659	719	5817
660	719	5814
661	720	5811
662	721	5808
663	722	5806
664	723	5804
665	724	5802
666	725	5800
667	726	5802
668	727	5799
669	728	5797
670	729	5795
671	730	5792
672	731	5789
673	732	5787
674	733	5785
675	734	5783
676	735	5781
677	736	5779
678	737	5777
679	738	5776
680	739	5774
681	740	5771
682	741	5769
683	742	5767
684	742	5764
685	743	5761
686	744	5758
687	745	5755
688	746	5751
689	746	5748
690	747	5745
691	748	5742
692	749	5739
693	750	5736
694	751	5733
695	751	5730
696	753	5733
697	754	5731
698	755	5729
699	756	5726
700	757	5724
701	758	5724
702	759	5722
703	760	5719
704	761	5717
705	762	5714
706	762	5711
707	764	5712
708	765	5710
709	766	5709
710	767	5708
711	768	5706
712	769	5704
713	770	5702
714	771	5700
715	771	5696
716	772	5694
717	773	5691
718	774	5690
719	775	5688
720	777	5690
721	778	5691
722	779	5690
723	780	5688
724	781	5687
725	782	5684
726	783	5681
727	784	5679
728	785	5677
729	786	5675
730	787	5673
731	788	5671
732	789	5672
733	790	5670
734	791	5667
735	792	5667
736	793	5665
737	794	5662
738	795	5660
739	796	5658
740	797	5659
741	799	5662
742	799	5659
743	800	5656
744	801	5655
745	802	5653
746	803	5650
747	804	5649
748	805	5646
749	806	5643
750	807	5642
751	808	5639
752	808	5636
753	809	5635
754	810	5631
755	811	5628
756	813	5632
757	814	5631
758	817	5644
759	818	5642
760	819	5640
761	820	5640
762	821	5639
763	822	5636
764	823	5634
765	824	5633
766	825	5630
767	826	5629
768	827	5628
769	828	5626
770	829	5623
771	830	5625
772	831	5623
773	832	5620
774	833	5617
775	833	5614
776	834	5611
777	835	5610
778	836	5608
779	837	5606
780	838	5606
781	839	5603
782	840	5601
783	841	5599
784	842	5597
785	843	5595
786	844	5593
787	845	5590
788	846	5587
789	846	5584
790	848	5587
791	849	5584
792	850	5582
793	851	5581
794	852	5580
795	853	5578
796	854	5575
797	855	5575
798	856	5577
799	857	5574
800	858	5572
801	859	5569
802	860	5568
803	861	5567
804	862	5565
805	863	5563
806	864	5560
